title,country,genre,director,actors
Шерлок Холмс и доктор Ватсон: Знакомство,СССР, криминал,Игорь Масленников,"Василий Ливанов, Виталий Соломин"
Гордость и предубеждение,Великобритания, драма,Джо Райт,"Кира Найтли, Мэттью Макфэдиен"
Шрэк 2,США, мультфильм,Эндрю Адамсон,"Майк Майерс, Эдди Мерфи"
Апокалипсис,США, боевик,Мэл Гибсон,"Руди Янгблад, Далия Эрнандес"
Лев,Австралия, драма,Гарт Дэвис,"Дев Патель, Николь Кидман"
Пятый элемент,Франция, фантастика,Люк Бессон,"Брюс Уиллис, Милла Йовович"
Дело храбрых,США, драма,Джозеф Косински,"Джош Бролин, Майлз Теллер"
Омерзительная восьмерка,США, вестерн,Квентин Тарантино,"Курт Рассел, Сэмюэл Л. Джексон"
Паразиты,Корея Южная, драма,Пон Джун-хо,"Сон Кан-хо, Ли Сон-гюн"
Белая птица: Новое чудо,США, драма,Марк Форстер,"Ариэлла Глейзер, Хелен Миррен"
Счастливое число Слевина,США, триллер,Пол Макгиган,"Джош Хартнетт, Люси Лью"
Достать ножи,США, детектив,Райан Джонсон,"Дэниэл Крэйг, Ана де Армас"
Шоу Трумана,США, драма,Питер Уир,"Джим Керри, Лора Линни"
Иди и смотри,СССР, драма,Элем Климов,"Алексей Кравченко, Ольга Миронова"
Планета Ка-Пэкс,Германия, фантастика,Иэн Софтли,"Кевин Спейси, Джефф Бриджес"
Области тьмы,США, триллер,Нил Бёргер,"Брэдли Купер, Роберт Де Ниро"
Реквием по мечте,США, драма,Даррен Аронофски,"Джаред Лето, Марлон Уайанс"
Лучшее предложение,Италия, триллер,Джузеппе Торнаторе,"Джеффри Раш, Джим Стёрджесс"
Лекарь: Ученик Авиценны,Германия, приключения,Филипп Штёльцль,"Том Пэйн, Бен Кингсли"
Игры разума,США, биография,Рон Ховард,"Рассел Кроу, Эд Харрис"
Гарри Поттер и Дары Смерти: Часть II,Великобритания, фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт"
Крик тишины,Россия, драма,Владимир Потапов,"Алина Саргина, Лев Гиршов"
Троя,США, боевик,Вольфганг Петерсен,"Брэд Питт, Эрик Бана"
Один дома,США, комедия,Крис Коламбус,"Маколей Калкин, Джо Пеши"
Люди в чёрном,США, фантастика,Барри Зонненфельд,"Томми Ли Джонс, Уилл Смит"
Жизнь Дэвида Гейла,Великобритания, триллер,Алан Паркер,"Кевин Спейси, Кейт Уинслет"
Балканский рубеж,Россия, боевик,Андрей Волгин,"Антон Пампушный, Гоша Куценко"
Алеша Попович и Тугарин Змей,Россия, мультфильм,Константин Бронзит,"Олег Куликович, Дмитрий Высоцкий"
Пожары,Канада, драма,Дени Вильнёв,"Лубна Азабаль, Мелисса Дезормо-Полен"
Принцесса Мононоке,Япония, аниме,Хаяо Миядзаки,"Ёдзи Мацуда, Юрико Исида"
Дурак,Россия, драма,Юрий Быков,"Артём Быстров, Наталья Суркова"
Отель Мумбаи: Противостояние,США, боевик,Энтони Марас,"Арми Хаммер, Джейсон Айзекс"
Гарри Поттер и Тайная комната,Великобритания, фэнтези,Крис Коламбус,"Дэниэл Рэдклифф, Руперт Гринт"
12 лет рабства,Великобритания, драма,Стив МакКуин,"Чиветель Эджиофор, Майкл Фассбендер"
Молчание ягнят,США, триллер,Джонатан Демме,"Джоди Фостер, Энтони Хопкинс"
"Артур, ты король",США, драма,Саймон Селлан Джонс,"Марк Уолберг, Симу Лю"
По соображениям совести,США, биография,Мэл Гибсон,"Эндрю Гарфилд, Сэм Уортингтон"
Безумный Макс: Дорога ярости,Австралия, боевик,Джордж Миллер,"Том Харди, Шарлиз Терон"
Как прогулять школу с пользой,Франция, драма,Николя Ванье,"Франсуа Клюзе, Жан Скандель"
Ла-Ла Ленд,США, мюзикл,Дэмьен Шазелл,"Райан Гослинг, Эмма Стоун"
Крестный отец 2,США, драма,Фрэнсис Форд Коппола,"Аль Пачино, Роберт Де Ниро"
Они сражались за Родину,СССР, драма,Сергей Бондарчук,"Василий Шукшин, Вячеслав Тихонов"
Адвокат дьявола,США, триллер,Тейлор Хэкфорд,"Киану Ривз, Аль Пачино"
12 стульев,СССР, комедия,Леонид Гайдай,"Арчил Гомиашвили, Сергей Филиппов"
Чудо,США, драма,Стивен Чбоски,"Джейкоб Тремблей, Оуэн Уилсон"
Такси,Франция, боевик,Жерар Пирес,"Сами Насери, Фредерик Дифенталь"
Искупление,Великобритания, драма,Джо Райт,"Кира Найтли, Джеймс Макэвой"
Кин-дза-дза!,СССР, фантастика,Георгий Данелия,"Станислав Любшин, Евгений Леонов"
Страсти Христовы,США, драма,Мэл Гибсон,"Джеймс Кэвизел, Майя Моргенштерн"
Король говорит!,США, драма,Том Хупер,"Колин Фёрт, Джеффри Раш"
Далласский клуб покупателей,США, драма,Жан-Марк Валле,"Мэттью Макконахи, Дженнифер Гарнер"
12 разгневанных мужчин,США, драма,Сидни Люмет,"Генри Фонда, Мартин Болсам"
Чужой,Великобритания, ужасы,Ридли Скотт,"Сигурни Уивер, Том Скеррит"
Догвилль,Дания, триллер,Ларс фон Триер,"Николь Кидман, Пол Беттани"
Самый быстрый Indian,Новая Зеландия, драма,Роджер Дональдсон,"Энтони Хопкинс, Аарон Мерфи"
Небо,Россия, военный,Игорь Копылов,"Игорь Петренко, Иван Батарев"
Аватар,США, фантастика,Джеймс Кэмерон,"Сэм Уортингтон, Зои Салдана"
Гарри Поттер и Кубок огня,Великобритания, фэнтези,Майк Ньюэлл,"Дэниэл Рэдклифф, Руперт Гринт"
Опасная игра Слоун,США, драма,Джон Мэдден,"Джессика Честейн, Марк Стронг"
Укрась прощальное утро цветами обещания,Япония, аниме,Мари Окада,"Манака Ивами, Мию Ирино"
Война,Россия, боевик,Алексей Балабанов,"Алексей Чадов, Иэн Келли"
Амели,Франция, мелодрама,Жан-Пьер Жёне,"Одри Тоту, Матьё Кассовиц"
Билли Эллиот,Великобритания, драма,Стивен Долдри,"Джейми Белл, Джули Уолтерс"
Холодное лето пятьдесят третьего...,СССР, драма,Александр Прошкин,"Валерий Приёмыхов, Анатолий Папанов"
Невозможное,Испания, драма,Хуан Антонио Байона,"Наоми Уоттс, Юэн Макгрегор"
Ворошиловский стрелок,Россия, драма,Станислав Говорухин,"Михаил Ульянов, Анна Синякина"
Пираты Карибского моря: Сундук мертвеца,США, фэнтези,Гор Вербински,"Джонни Депп, Орландо Блум"
Брестская крепость,Беларусь, военный,Александр Котт,"Алексей Копашов, Андрей Мерзликин"
Белое солнце пустыни,СССР, боевик,Владимир Мотыль,"Анатолий Кузнецов, Спартак Мишулин"
Мой Хатико,Китай, драма,Сюй Ан,"Фэн Сяоган, Хуан Сюн"
Афоня,СССР, драма,Георгий Данелия,"Леонид Куравлёв, Евгения Симонова"
Загадочная история Бенджамина Баттона,США, драма,Дэвид Финчер,"Брэд Питт, Кейт Бланшетт"
Назад в будущее 2,США, фантастика,Роберт Земекис,"Майкл Дж. Фокс, Кристофер Ллойд"
Приключения Реми,Франция, мелодрама,Антуан Блоссье,"Малом Пакуин, Даниель Отой"
Исчезнувшая,США, триллер,Дэвид Финчер,"Бен Аффлек, Розамунд Пайк"
Легенда №17,Россия, биография,Николай Лебедев,"Данила Козловский, Олег Меньшиков"
Олдбой,Корея Южная, триллер,Пак Чхан-ук,"Чхве Мин-щик, Ю Джи-тхэ"
Джокер,США, драма,Тодд Филлипс,"Хоакин Феникс, Роберт Де Ниро"
Подольские курсанты,Россия, военный,Вадим Шмелев,"Алексей Бардуков, Евгений Дятлов"
Славные парни,США, драма,Мартин Скорсезе,"Роберт Де Ниро, Рэй Лиотта"
Граф Монте-Кристо,Франция, триллер,Александр де Ла Пательер,"Пьер Нинэ, Анаис Демустье"
Приключения Паддингтона 2,Франция, фэнтези,Пол Кинг,"Бен Уишоу, Хью Бонневилль"
Дневник памяти,США, драма,Ник Кассаветис,"Райан Гослинг, Рэйчел Макадамс"
Мимино,СССР, драма,Георгий Данелия,"Вахтанг Кикабидзе, Фрунзик Мкртчян"
Дангал,Индия, драма,Нитеш Тивари,"Аамир Кхан, Фатима Сана Шайкх"
Век Адалин,США, драма,Ли Толанд Кригер,"Блейк Лайвли, Михил Хёйсман"
Клаус,Испания, мультфильм,Серхио Паблос,"Джейсон Шварцман, Дж.К. Симмонс"
Твоё имя,Япония, аниме,Макото Синкай,"Рюносукэ Камики, Монэ Камисираиси"
Звёздные войны: Эпизод 3 – Месть ситхов,США, фантастика,Джордж Лукас,"Юэн Макгрегор, Натали Портман"
Вам и не снилось...,СССР, драма,Илья Фрэз,"Татьяна Аксюта, Никита Михайловский"
Апокалипсис сегодня,США, военный,Фрэнсис Форд Коппола,"Марлон Брандо, Мартин Шин"
Мстители: Война бесконечности,США, фантастика,Энтони Руссо,"Роберт Дауни мл., Крис Хемсворт"
Охота,Дания, драма,Томас Винтерберг,"Мадс Миккельсен, Томас Бо Ларсен"
Таксист,Корея Южная, история,Чан Хун,"Сон Кан-хо, Томас Кречман"
Самая обаятельная и привлекательная,СССР, мелодрама,Геральд Бежанов,"Ирина Муравьёва, Татьяна Васильева"
Убить Билла,США, боевик,Квентин Тарантино,"Ума Турман, Люси Лью"
Жизнь других,Германия, триллер,Флориан Хенкель фон Доннерсмарк,"Ульрих  Мюэ, Себастьян Кох"
Иллюзионист,США, драма,Нил Бёргер,"Эдвард Нортон, Пол Джаматти"
Отпуск по обмену,США, мелодрама,Нэнси Майерс,"Кэмерон Диас, Кейт Уинслет"
Вечное сияние чистого разума,США, мелодрама,Мишель Гондри,"Джим Керри, Кейт Уинслет"
Мотылёк,США, драма,Михаэль Ноер,"Чарли Ханнэм, Рами Малек"
Форсаж,США, боевик,Роб Коэн,"Пол Уокер, Вин Дизель"
Реальная любовь,Великобритания, мелодрама,Ричард Кёртис,"Хью Грант, Билл Найи"
Чужие,Великобритания, ужасы,Джеймс Кэмерон,"Сигурни Уивер, Майкл Бин"
Бронкская история,США, драма,Роберт Де Ниро,"Роберт Де Ниро, Чазз Пальминтери"
Человек-паук: Паутина вселенных,США, мультфильм,Жуакин Душ Сантуш,"Шамеик Мур, Хейли Стайнфелд"
День выборов,Россия, комедия,Олег Фомин,"Леонид Барац, Ростислав Хаит"
Темный рыцарь: Возрождение легенды,США, фантастика,Кристофер Нолан,"Кристиан Бэйл, Том Харди"
Общество мертвых поэтов,США, драма,Питер Уир,"Робин Уильямс, Роберт Шон Леонард"
Особенности национальной охоты,Россия, комедия,Александр Рогожкин,"Вилле Хаапасало, Алексей Булдаков"
Бегущий по лезвию 2049,США, фантастика,Дени Вильнёв,"Райан Гослинг, Харрисон Форд"
Звук свободы,Мексика, драма,Алехандро Гомес Монтеверде,"Джеймс Кэвизел, Билл Кэмп"
Изгой,США, драма,Роберт Земекис,"Том Хэнкс, Хелен Хант"
Игра в имитацию,Великобритания, биография,Мортен Тильдум,"Бенедикт Камбербэтч, Кира Найтли"
Не может быть!,СССР, мелодрама,Леонид Гайдай,"Михаил Пуговкин, Нина Гребешкова"
